Question,Answer
What is your level of proficiency in eng?,Professional
What is your level of proficiency in guj?,Conversational
How many years of work experience do you have with Digital Marketing?,1
How many years of work experience do you have with Content Development?,1
How many years of work experience do you have with Video Editing?,0
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with Microsoft Office?,0
How many years of work experience do you have with Databases?,0
Description,
How many years of work experience do you have with Creative Design?,1
How many years of work experience do you have with Unbounce?,0
Major / Field of study,
How many years of work experience do you have with Microsoft PowerPoint?,2
"Are you willing to take a drug test, in accordance with local law/regulations?",Yes
How many years of CUST experience do you currently have?,0
How many years of MRKT experience do you currently have?,1
How many years of work experience do you have with WordPress?,0
How many years of urn:li:industry:69 experience do you currently have?,0
Do you speak Hindi?,Yes
How many years of work experience do you have with Display Advertising?,1
How many years of work experience do you have with Google Ads?,01
How many years of work experience do you have with Marketing?,0
How many years of work experience do you have with YouTube?,0
How many years of work experience do you have with Microsoft Excel?,0
State / Province,
First name,
Mobile phone number, +91 9099751163
How many years of work experience do you have with Facebook?,1
School,
Do you speak English?,Yes
How many years of ADVR experience do you currently have?,1
State,
City,
How many years of urn:li:industry:80 experience do you currently have?,1
Have you completed the following level of education: Master of Business Administration?,No
Company,
How many years of work experience do you have with Content Creation?,1
How many years of work experience do you have with Search Engine Marketing (SEM)?,0
ZIP / Postal Code,
How many years of work experience do you have with Management?,0
Last name,
Country,
How many years of work experience do you have with Facebook Marketing?,1
Are you legally authorized to work in in?,Yes
Degree,
How many years of work experience do you have with Twitter?,0
How many years of work experience do you have with Google Analytics?,01
How many years of work experience do you have with Search Engine Optimization (SEO)?,0
How many years of work experience do you have with Ad Serving?,1
Please submit a resume or LinkedIn profile,999809688.docx
How many years of work experience do you have with Facebook Ads Manager?,1
Your title,
How many years of work experience do you have with Online Marketing?,1
How many years of work experience do you have with B2B Marketing?,0
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
Street address line 1,
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with Instagram?,1
How many years of urn:li:industry:20 experience do you currently have?,0
